contextid,message_id,message,calltype,username,createtime,skill_id,bot_code
0004b2721a8f4c4a831a928abdf9e7e2,25b91141d4044fd1a9c9f00c857b0ab2,您好，请问有什么可以帮您？,out,珑小潼,2022-04-07 15:22:34,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
0004b2721a8f4c4a831a928abdf9e7e2,c015c60832714553aad185349f3e453a,您好，请问有什么可以帮您～,out,珑小潼,2022-04-07 15:22:34,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
0004b2721a8f4c4a831a928abdf9e7e2,214bdefa53c84c5d9c65e43bf8ecb5d3,新客测试在哪,in,珑珠用户,2022-04-07 15:22:43,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
0004b2721a8f4c4a831a928abdf9e7e2,b82b30b8e87d47fd8859b7aa51752bc7,您好~,out,珑小潼,2022-04-07 15:22:46,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
0004b2721a8f4c4a831a928abdf9e7e2,6166fbdfe359479c8a7feda964c1cdda,新客测试在哪,in,珑珠用户,2022-04-07 15:23:02,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
0004b2721a8f4c4a831a928abdf9e7e2,76432411982d4235b46399b6fceda44a,不同城市哪个不同天街活动不同呢，请问是哪个城市哪个天街的活动呢？,out,珑小潼,2022-04-07 15:23:26,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,95a1af3589f1450596856e3748e79d31,您好，请问有什么可以帮您？,out,珑小潼,2022-03-24 22:49:23,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,a998277374614aaab8bae055da766cb8,您好，请问有什么可以帮您～,out,珑小潼,2022-03-24 22:49:22,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,01fa3555a68e409098ea6602893822c1,您好,out,珑小潼,2022-03-24 22:49:35,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,05d5ee258aea4fd9a842b8869c1425b2,拉新人有什么奖励,in,16,2022-03-24 22:49:32,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,0a1a535cdec24d88903c32ded1d89e4e,是北京房山天街吗,out,珑小潼,2022-03-24 22:52:19,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,129478de63a746f1a4ca8f8b5892a801,有什么活动呢,in,16,2022-03-24 22:49:49,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,14db952a51fb4bd690d20b53e779e8f8,因为现在后台的工作人员下班啦所以需要次日上班后再联系您呢,out,珑小潼,2022-03-24 22:53:01,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,25c8effa7a3d44809e3ff3bfc7dea65e,这是个问题,in,16,2022-03-24 22:53:59,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,26b2805ef997463e8992a70cef579948,具体是需要帮您反馈相关的工作人员核实后与您联系的,out,珑小潼,2022-03-24 22:53:30,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,2ccebaef9182422e8580ec6cf1ba7255,具体请问是哪个城市哪个天街的活动呢,out,珑小潼,2022-03-24 22:51:28,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,334cba16aecb4b6786ca224c5938cb80,房山天街,in,16,2022-03-24 22:52:10,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,36a5bf87d99e42ffadffaf07866546cf,好的，这里帮您反馈核实一下，请问手机尾号1731是否能联系到您呢,out,珑小潼,2022-03-24 22:52:38,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,38093062c06d4973817eb9ebdc1af69a,奖励是什么呢,in,16,2022-03-24 22:53:22,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,3cfa6c25d55e4d58a5fe112dae19040e,需要帮您反馈至相关的工作人员核实呢。,out,珑小潼,2022-03-24 22:52:00,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,4bb08cc9418b4b89a274b16815c8129e,可以的哦,in,16,2022-03-24 22:52:52,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,4cc46032841b4239964d8fe0240d219c,小潼这里暂时未登记相关信息的。,out,珑小潼,2022-03-24 22:53:37,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,4e485a61054945f3bd706ac6fbc9fa4c,微信扫码领券的那种呢,in,16,2022-03-24 22:51:09,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,547afb5f714b4f59a1cf6175a5dec610,晚安,in,16,2022-03-24 22:54:26,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,5a7e076a3a284b17bec69decebfd06c1,请问您是需要参与什么活动呢,out,珑小潼,2022-03-24 22:49:42,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,60a5ec43ff71473fbf50a26ee68c2485,嗯，好的,in,16,2022-03-24 22:54:24,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,68ce1a028737486eb7ecdf7f978cbea2,我明天在哪里找你们呢,in,16,2022-03-24 22:53:56,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,6c076e6b28f94c6f86a670af945e9e75,没有其他的么,in,16,2022-03-24 22:50:40,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,712f2743d1994573aa45a7a3af759de9,您放心,out,珑小潼,2022-03-24 22:54:16,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,723dfc87299348cdb42ed697d4ee6b51,方便告知一下具体的城市天街吗,out,珑小潼,2022-03-24 22:51:50,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,788f5ba7b58044a48b90885514c6dc2b,欢迎回来,out,珑小潼,2022-03-24 22:51:28,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,800fc043c386442e8f6e86244be2a845,你好,in,16,2022-03-24 22:49:39,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,877714f50b6c46f38b82168ef8494e83,请问还有什么可以帮您的呢?,out,珑小潼,2022-03-24 22:54:28,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,a0f38507c21444ec8193d2abb963875b,对的,in,16,2022-03-24 22:52:24,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,a13388df2dfe4aa4bcfe637608740a87,确实非常抱歉呢，小潼这里暂时未登记相关信息呢。,out,珑小潼,2022-03-24 22:51:00,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,b0f407642b12407a862461361fd41a06,晚安~,out,珑小潼,2022-03-24 22:54:31,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,b43d2cb4ba16409092023849e8a49ab4,"<span style=""color:#444444;font-family:&quot;font-size:13px;white-space:normal;background-color:#C7DCFA;"">小潼这里暂时未登记相关信息的呢。</span>",out,珑小潼,2022-03-24 22:53:45,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,bac14252bd4042e5a43a1d169e7e6881,"<a href=""https://cc.longfor.com:443/res/image.html?id=12439c3d9a13ddd3884d8391087112d0_original"" target=""_blank""> <img src=""https://cc.longfor.com:443/res/image.html?id=12439c3d9a13ddd3884d8391087112d0"" /> </a>",out,珑小潼,2022-03-24 22:50:26,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,be085d3da79649c282f8098b1ea58417,那有这个活动么？,in,16,2022-03-24 22:53:17,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,c9921fd649d243b5ae3759493311db52,"<a href=""https://cc.longfor.com:443/res/image.html?id=d44b065a9c9af1bf235ec949d9d475de_original"" target=""_blank""> <img src=""https://cc.longfor.com:443/res/image.html?id=d44b065a9c9af1bf235ec949d9d475de"" /> </a>",out,珑小潼,2022-03-24 22:50:43,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,d46b33f3485c46ada362a1c6170c4622,随便,in,16,2022-03-24 22:51:39,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,e58e2397b7f342828a565776f097558a,？,in,16,2022-03-24 22:50:11,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,e75b70c8d37b4f29a5f4538a3c33a9f1,你不知道么,in,16,2022-03-24 22:53:39,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,fbf42f8e6643408ab858c1861e982978,后台的工作人员核实后会有相关的工作人员与您联系的,out,珑小潼,2022-03-24 22:54:15,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,02dac13a04f44217b8483d65ca0a036d,抱歉，客服这里没有查询到该活动登记哦,out,珑小乐,2022-04-09 15:43:10,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,118be4a13d884575822d342c350f5e65,看,in,ᰔᩚ,2022-04-09 15:42:54,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,17d5b5f275664ab8b0bc3e4cc69233b4,这里是人工哦,out,珑小乐,2022-04-09 15:40:11,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,1ecf63f0d0e847c9b08f1368bfcdd1eb,什么平台呢,out,珑小乐,2022-04-09 15:41:15,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,1f59a218d5ee4e20859dd73c88adf96b,您说,out,珑小乐,2022-04-09 15:40:13,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,29f38946d458402f9c2ae82af36bbf08,https://cc.longfor.com:443/res/image.html?id=6d0b9f2485736f2184fe1d1ab9b780a4,in,ᰔᩚ,2022-04-09 15:42:52,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF